tier,seq_id,n_stems,scheme,encoded_vars,degree,fits_free_tier,R,seed,collapse_rate,max_stem_share,wall_time,model_energy,optimizer_gap_model,e_vienna,total_gap,feasible_raw,was_repaired,n_removed
A,A_rand07,9,per_stem,18,2,True,9.0,1,0.3333333333333333,0.5019,0.34864580002613366,-5.1,0.0,-5.1,0.0,True,False,0
A,A_rand07,9,per_stem,18,2,True,9.0,2,0.6666666666666666,0.7503,0.32892070000525564,-5.1,0.0,-5.1,0.0,True,False,0
A,A_rand07,9,global_slack,10,2,True,4.5,0,1.0,1.0,0.3391577000147663,-5.1,0.0,-5.1,0.0,True,False,0
A,A_rand07,9,global_slack,10,2,True,4.5,1,1.0,1.0,0.3462362000136636,-5.1,0.0,-5.1,0.0,True,False,0
A,A_rand07,9,global_slack,10,2,True,4.5,2,1.0,1.0,0.3358449999941513,-5.1,0.0,-5.1,0.0,True,False,0
A,A_rand08,5,per_stem,10,2,True,5.0,0,0.5,0.6677,0.32852290000300854,-1.5999999999999996,0.0,-1.6,0.0,True,False,0
A,A_rand08,5,per_stem,10,2,True,5.0,1,0.5,0.6268,0.3328169000451453,-1.5999999999999996,0.0,-1.6,0.0,True,False,0
A,A_rand08,5,per_stem,10,2,True,5.0,2,0.5833333333333334,0.7814,0.3384292999980971,-1.5999999999999996,0.0,-1.6,0.0,True,False,0
A,A_rand08,5,global_slack,6,2,True,2.5,0,1.0,1.0,0.3267441999632865,-1.5999999999999996,0.0,-1.6,0.0,True,False,0
A,A_rand08,5,global_slack,6,2,True,2.5,1,1.0,1.0,0.3205242999829352,-1.5999999999999996,0.0,-1.6,0.0,True,False,0
A,A_rand08,5,global_slack,6,2,True,2.5,2,1.0,1.0,0.32731899997452274,-1.5999999999999996,0.0,-1.6,0.0,True,False,0
A,A_rand09,14,per_stem,28,2,True,14.0,0,0.4166666666666667,0.6255,0.346531999995932,-3.5000000000000004,0.9,-3.5,0.9,True,False,0
A,A_rand09,14,per_stem,28,2,True,14.0,1,0.3333333333333333,0.5159,0.342204499989748,-0.7999999999999998,3.6,-0.8,3.6,True,False,0
A,A_rand09,14,per_stem,28,2,True,14.0,2,0.25,0.5294,0.34589320002123713,-4.4,0.0,-4.4,0.0,True,False,0
A,A_rand09,14,global_slack,15,2,True,7.0,0,1.0,1.0,0.34345340001164004,-2.2,2.2,-2.2,2.2,True,False,0
A,A_rand09,14,global_slack,15,2,True,7.0,1,1.0,1.0,0.3365201999549754,-2.2,2.2,-2.2,2.2,True,False,0
A,A_rand09,14,global_slack,15,2,True,7.0,2,1.0,1.0,0.3396801999770105,-2.2,2.2,-2.2,2.2,True,False,0
A,A_rand10,7,per_stem,14,2,True,7.0,0,0.5,0.5839,0.33107670000754297,0.0,0.0,0.0,3.4,True,False,0
A,A_rand10,7,per_stem,14,2,True,7.0,1,0.6666666666666666,0.7925,0.32704800000647083,0.0,0.0,0.0,3.4,True,False,0
A,A_rand10,7,per_stem,14,2,True,7.0,2,0.5,0.6675,0.3264534000190906,0.0,0.0,0.0,3.4,True,False,0
A,A_rand10,7,global_slack,8,2,True,3.5,0,1.0,1.0,0.32354579999810085,0.5,0.5,0.5,3.9,True,False,0
A,A_rand10,7,global_slack,8,2,True,3.5,1,1.0,1.0,0.3215569000458345,0.5,0.5,0.5,3.9,True,False,0
A,A_rand10,7,global_slack,8,2,True,3.5,2,1.0,1.0,0.32641160005005077,0.7999999999999998,0.8,0.8,4.2,True,False,0
A,A_rand11,9,per_stem,18,2,True,9.0,0,0.5,0.7112,0.3497611999628134,-0.5,2.0,-0.5,2.0,True,False,0
A,A_rand11,9,per_stem,18,2,True,9.0,1,0.3333333333333333,0.5028,0.35331900004530326,-2.5,0.0,-2.5,0.0,True,False,0
A,A_rand11,9,per_stem,18,2,True,9.0,2,0.75,0.7924,0.34172520000720397,-2.5,0.0,-2.5,0.0,True,False,0
A,A_rand11,9,global_slack,10,2,True,4.5,0,1.0,1.0,0.37395609996747226,-2.5,0.0,-2.5,0.0,True,False,0
A,A_rand11,9,global_slack,10,2,True,4.5,1,1.0,1.0,0.33205750002525747,-2.5,0.0,-2.5,0.0,True,False,0
A,A_rand11,9,global_slack,10,2,True,4.5,2,1.0,1.0,0.3344463999965228,-2.5,0.0,-2.5,0.0,True,False,0
A,A_rand12,1,per_stem,2,2,True,1.0,0,0.9166666666666666,0.9167,0.31925800000317395,-2.7999999999999994,0.0,-2.8,0.0,True,False,0
A,A_rand12,1,per_stem,2,2,True,1.0,1,0.5833333333333334,0.5833,0.3175026000244543,-2.7999999999999994,0.0,-2.8,0.0,True,False,0
A,A_rand12,1,per_stem,2,2,True,1.0,2,0.9166666666666666,0.9167,0.32364729995606467,-2.7999999999999994,0.0,-2.8,0.0,True,False,0
A,A_rand12,1,global_slack,2,2,True,0.5,0,0.4166666666666667,0.4167,0.31816679995972663,0.0,2.8,0.0,2.8,True,False,0
A,A_rand12,1,global_slack,2,2,True,0.5,1,0.25,0.25,0.3493805000325665,0.0,2.8,0.0,2.8,True,False,0
A,A_rand12,1,global_slack,2,2,True,0.5,2,0.25,0.25,0.3629481000243686,0.0,2.8,0.0,2.8,True,False,0
M,M_ml02,17,per_stem,34,3,True,17.0,0,0.08333333333333333,0.464,0.5695369000313804,-10.4,0.0,-10.4,0.0,True,False,0
M,M_ml02,17,per_stem,34,3,True,17.0,1,0.3333333333333333,0.6274,0.5852153999730945,-6.1,4.3,-6.1,4.3,True,False,0
M,M_ml02,17,per_stem,34,3,True,17.0,2,0.08333333333333333,0.4562,0.5931048999773338,-6.699999999999999,3.7,-6.7,3.7,True,False,0
M,M_ml02,17,global_slack,18,3,True,8.5,0,1.0,1.0,0.5479887999827042,-5.6,4.8,-5.6,4.8,True,False,0
M,M_ml02,17,global_slack,18,3,True,8.5,1,1.0,1.0,0.5606502000009641,-5.6,4.8,-5.6,4.8,True,False,0
M,M_ml02,17,global_slack,18,3,True,8.5,2,1.0,1.0,0.5615509999915957,-5.6,4.8,-5.6,4.8,True,False,0
M,M_ml04,34,per_stem,68,3,True,34.0,0,0.75,0.8334,0.40465510002104566,-6.2,6.2,-6.2,6.2,True,False,0
M,M_ml04,34,per_stem,68,3,True,34.0,1,0.25,0.3752,0.38462149997940287,-4.5,7.9,-4.5,7.9,True,False,0
M,M_ml04,34,per_stem,68,3,True,34.0,2,0.5833333333333334,0.6667,0.3906130999675952,-9.6,2.8,-9.6,2.8,True,False,0
M,M_ml04,34,global_slack,35,3,True,17.0,0,1.0,1.0,0.3735228999867104,-4.5,7.9,-4.5,7.9,True,False,0
M,M_ml04,34,global_slack,35,3,True,17.0,1,1.0,1.0,0.36925750004593283,-2.0999999999999996,10.3,-2.1,10.3,True,False,0
M,M_ml04,34,global_slack,35,3,True,17.0,2,1.0,1.0,0.36998670001048595,-4.5,7.9,-4.5,7.9,True,False,0
M,M_ml05,34,per_stem,68,3,True,34.0,0,0.6666666666666666,0.7084,0.4174404999939725,-8.3,5.7,-8.3,5.7,True,False,0
M,M_ml05,34,per_stem,68,3,True,34.0,1,0.6666666666666666,0.6667,0.38685359997907653,-8.3,5.7,-8.3,5.7,True,False,0
M,M_ml05,34,per_stem,68,3,True,34.0,2,0.5833333333333334,0.7503,0.372218000004068,-13.900000000000002,0.1,-13.9,0.1,True,False,0
M,M_ml05,34,global_slack,35,3,True,17.0,0,1.0,1.0,0.3750352000351995,-5.0,9.0,-5.0,9.0,True,False,0
M,M_ml05,34,global_slack,35,3,True,17.0,1,1.0,1.0,0.37393419997533783,-4.7,9.3,-4.7,9.3,True,False,0
M,M_ml05,34,global_slack,35,3,True,17.0,2,1.0,1.0,0.3738613000023179,-8.3,5.7,-8.3,5.7,True,False,0
M,M_ml06,30,per_stem,60,3,True,30.0,0,0.3333333333333333,0.6533,0.609422400011681,-9.100000000000001,10.2,-9.1,10.2,True,False,0
M,M_ml06,30,per_stem,60,3,True,30.0,1,0.4166666666666667,0.6395,0.8496412999811582,-10.000000000000002,9.3,-10.0,9.3,True,False,0
M,M_ml06,30,per_stem,60,3,True,30.0,2,0.25,0.5976,0.7700336999841966,-10.900000000000002,8.4,-10.9,8.4,True,False,0
M,M_ml06,30,global_slack,31,3,True,15.0,0,1.0,1.0,0.750726800004486,-5.670000000000001,13.63,-5.67,13.63,True,False,0
M,M_ml06,30,global_slack,31,3,True,15.0,1,1.0,1.0,0.771584999980405,-5.1,14.2,-5.1,14.2,True,False,0
M,M_ml06,30,global_slack,31,3,True,15.0,2,1.0,1.0,0.732495000003837,-6.9,12.4,-6.9,12.4,True,False,0
M,M_ml08,22,per_stem,44,3,True,22.0,0,0.16666666666666666,0.5358,0.35307320003630593,-6.3999999999999995,4.5,-6.4,7.9,True,False,0
M,M_ml08,22,per_stem,44,3,True,22.0,1,0.08333333333333333,0.4395,0.35805109998909757,-8.799999999999999,2.1,-8.8,5.5,True,False,0
M,M_ml08,22,per_stem,44,3,True,22.0,2,0.16666666666666666,0.4534,0.37685960001545027,-6.999999999999999,3.9,-7.0,7.3,True,False,0
M,M_ml08,22,global_slack,23,3,True,11.0,0,1.0,1.0,0.36994080001022667,-3.3,7.6,-3.3,11.0,True,False,0
M,M_ml08,22,global_slack,23,3,True,11.0,1,1.0,1.0,0.35579719999805093,-3.3,7.6,-3.3,11.0,True,False,0
M,M_ml08,22,global_slack,23,3,True,11.0,2,1.0,1.0,0.34007999999448657,-3.3,7.6,-3.3,11.0,True,False,0
M,M_ml09,32,per_stem,64,3,True,32.0,0,0.25,0.5282,0.4292381000122987,-11.399999999999999,5.0,-11.4,6.0,True,False,0
M,M_ml09,32,per_stem,64,3,True,32.0,1,0.16666666666666666,0.4873,0.4251811999711208,-11.34,5.06,-11.34,6.06,True,False,0
M,M_ml09,32,per_stem,64,3,True,32.0,2,0.4166666666666667,0.6184,0.4195045999949798,-12.080000000000002,4.32,-11.9,5.5,True,False,0
M,M_ml09,32,global_slack,33,3,True,16.0,0,1.0,1.0,0.4257819000049494,-2.7999999999999994,13.6,-2.8,14.6,True,False,0
M,M_ml09,32,global_slack,33,3,True,16.0,1,1.0,1.0,0.42875620000995696,-5.290000000000001,11.11,-5.29,12.11,True,False,0
M,M_ml09,32,global_slack,33,3,True,16.0,2,1.0,1.0,0.4252664999803528,-3.3000000000000007,13.1,-3.3,14.1,True,False,0
