seq_id,tier,length,n_stems,level,solver,e_vienna_mfe,e_model_optimum,e_solver,encoding_gap,optimizer_gap,total_gap,sensitivity,ppv,f1,bp_distance,exact_match,matches_subopt,feasible_raw,was_repaired,n_removed,reference_representable,model_energy_error,level_exact_for_reference,structure,wall_time,model_level,model_n_vars,model_degree,model_n_obj_linear,model_n_obj_quadratic,model_n_obj_cubic,model_n_penalty_terms,model_lambda_conflict,model_lambda_cross,model_pseudoknot_mode,model_n_stems,model_n_conflict,model_n_crossing,model_n_nesting,res_n_vars,res_states_enumerated,res_function_evaluations,res_n_auxiliary_vars,res_branches,res_conflicts
A_rand08,A,21,5,0,brute_force,-1.6,-1.6,-1.6,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,5.4,True,..((((...))))........,0.00011770002311095595,0,5,2,5,0,0,10,10.5,10.5,False,5,9,1,0,5,32.0,32.0,,,
A_rand08,A,21,5,1,brute_force,-1.6,-1.6,-1.6,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,..((((...))))........,0.00012280000373721123,1,5,2,4,0,0,10,2.4,2.4,False,5,9,1,0,5,32.0,32.0,,,
A_rand09,A,22,14,0,brute_force,-4.4,-4.0,-4.0,0.4,0.0,0.4,0.875,0.875,0.875,2,False,True,True,False,0,True,7.3,True,((((.((((.....)))))))),0.002889399998821318,0,14,2,14,0,0,73,11.85,11.85,False,14,72,1,18,14,16384.0,16384.0,,,
A_rand09,A,22,14,1,brute_force,-4.4,-4.4,-4.4,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,(((((.(((.....)))))))),0.003867899999022484,1,14,2,14,18,0,73,38.7,38.7,False,14,72,1,18,14,16384.0,16384.0,,,
A_rand10,A,23,7,0,brute_force,-3.4,0.8,0.8,4.2,0.0,4.2,0.0,0.0,0.0,11,False,False,True,False,0,False,,False,...((((.........))))...,0.00014359998749569058,0,7,2,7,0,0,20,7.8,7.8,False,7,18,2,1,7,128.0,128.0,,,
A_rand10,A,23,7,1,brute_force,-3.4,0.0,0.0,3.4,0.0,3.4,0.0,1.0,0.0,7,False,False,True,False,0,False,,False,.......................,0.00013269996270537376,1,7,2,7,1,0,20,6.6,6.6,False,7,18,2,1,7,128.0,128.0,,,
A_rand11,A,24,9,0,brute_force,-2.5,0.2,0.2,2.7,0.0,2.7,0.75,0.5,0.6,4,False,False,True,False,0,True,5.4,True,..((((((...)))..))).....,0.00021570001263171434,0,9,2,9,0,0,35,11.85,11.85,False,9,34,1,1,9,512.0,512.0,,,
A_rand11,A,24,9,1,brute_force,-2.5,-2.5,-2.5,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,....((((...)))).........,0.0002634000265970826,1,9,2,8,1,0,35,4.05,4.05,False,9,34,1,1,9,512.0,512.0,,,
A_rand12,A,25,1,0,brute_force,-2.8,-2.8,-2.8,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,3.9,True,....(((......))).........,9.310001041740179e-05,0,1,1,1,0,0,0,10.05,10.05,False,1,0,0,0,1,2.0,2.0,,,
A_rand12,A,25,1,1,brute_force,-2.8,-2.8,-2.8,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,....(((......))).........,6.319995736703277e-05,1,1,1,1,0,0,0,4.2,4.2,False,1,0,0,0,1,2.0,2.0,,,
M_ml01,M,34,39,0,cpsat,-12.4,-12.4,-12.4,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,15.3,False,(((((((((....))))((((....))))))))),0.254756800015457,0,39,2,39,0,0,503,18.0,18.0,False,39,472,31,213,39,,,503.0,1008.0,0.0
