tier,seq_id,n_stems,R_fraction,R,n_selected,collapse_rate,model_energy,optimizer_gap_model,e_vienna,total_gap,feasible_raw,was_repaired,n_removed
A,A_rand01,3,0.75,2.25,1,1.0,-0.5,0.0,-0.5,0.0,True,False,0
A,A_rand01,3,1.0,3.0,1,1.0,-0.5,0.0,-0.5,0.0,True,False,0
A,A_rand02,1,0.1,1.0,1,0.9166666666666666,-0.29999999999999893,0.0,-0.3,0.0,True,False,0
A,A_rand02,1,0.2,1.0,1,0.9166666666666666,-0.29999999999999893,0.0,-0.3,0.0,True,False,0
A,A_rand02,1,0.3,1.0,1,0.9166666666666666,-0.29999999999999893,0.0,-0.3,0.0,True,False,0
A,A_rand02,1,0.5,1.0,1,0.9166666666666666,-0.29999999999999893,0.0,-0.3,0.0,True,False,0
A,A_rand02,1,0.75,1.0,1,0.9166666666666666,-0.29999999999999893,0.0,-0.3,0.0,True,False,0
A,A_rand02,1,1.0,1.0,1,0.9166666666666666,-0.29999999999999893,0.0,-0.3,0.0,True,False,0
A,A_rand03,3,0.1,1.0,1,0.75,-2.5999999999999996,0.0,-2.6,0.0,True,False,0
A,A_rand03,3,0.2,1.0,1,0.75,-2.5999999999999996,0.0,-2.6,0.0,True,False,0
A,A_rand03,3,0.3,1.0,1,0.75,-2.5999999999999996,0.0,-2.6,0.0,True,False,0
A,A_rand03,3,0.5,1.5,1,1.0,-2.5999999999999996,0.0,-2.6,0.0,True,False,0
A,A_rand03,3,0.75,2.25,1,1.0,-2.5999999999999996,0.0,-2.6,0.0,True,False,0
A,A_rand03,3,1.0,3.0,1,1.0,-2.5999999999999996,0.0,-2.6,0.0,True,False,0
A,A_rand04,3,0.1,1.0,1,0.8333333333333334,-3.599999999999999,0.0,-3.6,1.0,True,False,0
A,A_rand04,3,0.2,1.0,1,0.8333333333333334,-3.599999999999999,0.0,-3.6,1.0,True,False,0
A,A_rand04,3,0.3,1.0,1,0.8333333333333334,-3.599999999999999,0.0,-3.6,1.0,True,False,0
A,A_rand04,3,0.5,1.5,1,1.0,-3.599999999999999,0.0,-3.6,1.0,True,False,0
A,A_rand04,3,0.75,2.25,1,1.0,-3.599999999999999,0.0,-3.6,1.0,True,False,0
A,A_rand04,3,1.0,3.0,1,1.0,-3.599999999999999,0.0,-3.6,1.0,True,False,0
A,A_rand05,12,0.1,1.2000000000000002,1,0.5,-0.40000000000000036,0.0,-0.4,0.0,True,False,0
A,A_rand05,12,0.2,2.4000000000000004,1,1.0,-0.40000000000000036,0.0,-0.4,0.0,True,False,0
A,A_rand05,12,0.3,3.5999999999999996,1,1.0,-0.40000000000000036,0.0,-0.4,0.0,True,False,0
A,A_rand05,12,0.5,6.0,1,1.0,-0.40000000000000036,0.0,-0.4,0.0,True,False,0
A,A_rand05,12,0.75,9.0,1,1.0,-0.40000000000000036,0.0,-0.4,0.0,True,False,0
A,A_rand05,12,1.0,12.0,1,1.0,-0.40000000000000036,0.0,-0.4,0.0,True,False,0
A,A_rand06,7,0.1,1.0,1,0.6666666666666666,-4.8,0.0,-4.8,0.0,True,False,0
A,A_rand06,7,0.2,1.4000000000000001,1,1.0,-4.8,0.0,-4.8,0.0,True,False,0
A,A_rand06,7,0.3,2.1,1,1.0,-4.8,0.0,-4.8,0.0,True,False,0
A,A_rand06,7,0.5,3.5,1,1.0,-4.8,0.0,-4.8,0.0,True,False,0
A,A_rand06,7,0.75,5.25,1,1.0,-4.8,0.0,-4.8,0.0,True,False,0
A,A_rand06,7,1.0,7.0,1,1.0,-4.8,0.0,-4.8,0.0,True,False,0
A,A_rand07,9,0.1,1.0,1,0.6666666666666666,-5.1,0.0,-5.1,0.0,True,False,0
A,A_rand07,9,0.2,1.8,1,1.0,-5.1,0.0,-5.1,0.0,True,False,0
A,A_rand07,9,0.3,2.6999999999999997,1,1.0,-5.1,0.0,-5.1,0.0,True,False,0
A,A_rand07,9,0.5,4.5,1,1.0,-5.1,0.0,-5.1,0.0,True,False,0
A,A_rand07,9,0.75,6.75,1,1.0,-5.1,0.0,-5.1,0.0,True,False,0
A,A_rand07,9,1.0,9.0,1,1.0,-5.1,0.0,-5.1,0.0,True,False,0
A,A_rand08,5,0.1,1.0,1,0.5,-1.5999999999999996,0.0,-1.6,0.0,True,False,0
A,A_rand08,5,0.2,1.0,1,0.5,-1.5999999999999996,0.0,-1.6,0.0,True,False,0
A,A_rand08,5,0.3,1.5,1,0.9166666666666666,-1.5999999999999996,0.0,-1.6,0.0,True,False,0
A,A_rand08,5,0.5,2.5,1,1.0,-1.5999999999999996,0.0,-1.6,0.0,True,False,0
